CNAME,LENGTH,WEIGHT
Rainbow Trout,302,210
Rainbow Trout,215,100
Rainbow Trout,276,190
Rainbow Trout,268,170
Rainbow Trout,256,160
Rainbow Trout,295,180
Rainbow Trout,241,150
Rainbow Trout,206,100
Rainbow Trout,317,280
Rainbow Trout,244,130
Rainbow Trout,253,170
Rainbow Trout,225,120
Rainbow Trout,169,60
Rainbow Trout,181,60
Rainbow Trout,272,170
Rainbow Trout,195,80
Rainbow Trout,200,80
Rainbow Trout,216,90
Rainbow Trout,262,170
Rainbow Trout,294,240
Rainbow Trout,211,80
Rainbow Trout,236,130
Rainbow Trout,209,100
Rainbow Trout,219,100
Rainbow Trout,252,150
Rainbow Trout,245,150
Rainbow Trout,243,140
Rainbow Trout,250,150
Rainbow Trout,267,180
Rainbow Trout,228,120
Rainbow Trout,230,120
Rainbow Trout,233,120
Rainbow Trout,244,140
Rainbow Trout,239,130
Rainbow Trout,254,160
Rainbow Trout,234,120
Rainbow Trout,262,150
Rainbow Trout,240,120
Rainbow Trout,234,120
Rainbow Trout,237,120
Rainbow Trout,248,170
Rainbow Trout,267,180
Rainbow Trout,254,150
Rainbow Trout,234,120
Rainbow Trout,235,130
Rainbow Trout,255,170
Rainbow Trout,257,140
Rainbow Trout,225,100
Rainbow Trout,260,180
Rainbow Trout,249,160
Rainbow Trout,224,120
Rainbow Trout,171,60
Rainbow Trout,165,50
Rainbow Trout,288,210
Rainbow Trout,308,300
Rainbow Trout,247,150
Rainbow Trout,297,305
Rainbow Trout,263,225
Rainbow Trout,268,203
Rainbow Trout,225,145
Rainbow Trout,200,105
Rainbow Trout,182,63
Rainbow Trout,184,93
Rainbow Trout,188,90
Rainbow Trout,184,85
Rainbow Trout,201,100
Rainbow Trout,170,65
Rainbow Trout,164,65
Rainbow Trout,152,58
Rainbow Trout,164,60
Rainbow Trout,490,710
Rainbow Trout,355,500
Rainbow Trout,370,670
Rainbow Trout,380,640
Rainbow Trout,328,460
Rainbow Trout,385,660
Rainbow Trout,297,230
Rainbow Trout,238,180
Rainbow Trout,214,150
Rainbow Trout,235,190
Rainbow Trout,205,130
Rainbow Trout,215,140
Rainbow Trout,178,99
Rainbow Trout,200,120
Rainbow Trout,160,65
Rainbow Trout,152,60
Rainbow Trout,170,90
Rainbow Trout,155,75
Rainbow Trout,370,630
Rainbow Trout,150,60
Rainbow Trout,143,50
Rainbow Trout,228,132
Rainbow Trout,284,230
Rainbow Trout,201,92
Rainbow Trout,208,97
Rainbow Trout,289,270
Rainbow Trout,287,288
Rainbow Trout,247,159
Rainbow Trout,218,218
Rainbow Trout,259,200
Rainbow Trout,249,165
Rainbow Trout,219,122
Rainbow Trout,252,170
Rainbow Trout,184,72
Rainbow Trout,231,132
Rainbow Trout,220,132
Rainbow Trout,199,92
Rainbow Trout,195,83
Rainbow Trout,188,72
Rainbow Trout,159,50
Rainbow Trout,162,45
Rainbow Trout,184,85
Rainbow Trout,340,419
Rainbow Trout,320,374
Rainbow Trout,303,309
Rainbow Trout,242,149
Rainbow Trout,243,160
Rainbow Trout,252,155
Rainbow Trout,337,400
Rainbow Trout,230,134
Rainbow Trout,321,366
Rainbow Trout,262,193
Rainbow Trout,252,178
Rainbow Trout,250,187
Rainbow Trout,240,152
Rainbow Trout,196,80
